Amount of Citizens: 209
Amount of Houses: 10
Money: 14324
Climate Score: 99
Current Date: 2022-07-14
citizen_happiness: 1
Placed Objects:
House- 4(360.0-420.0)
House- 4(420.0-420.0)
Tree- 0(480-420)
Tree- 0(300-420)
Tree- 0(660-420)
Tree- 0(840-420)
Tree- 0(1020-420)
House- 4(540.0-420.0)
House- 4(600.0-420.0)
House- 4(720.0-420.0)
House- 4(780.0-420.0)
Energy- 1(960-420)
Park- 1(900-420)
Tree- 0(1200-420)
Tree- 0(1380-420)
Tree- 0(1560-420)
Tree- 0(120-420)
Road- 0(50-530)road|0
Road- 0(110-530)road|0
Road- 0(170-530)road|0
Road- 0(230-530)road|0
Road- 0(290-530)t-road|180
Road- 0(350-530)road|0
Road- 0(410-530)road|0
Park- 2(1260-60)
Park- 2(1320-60)
Park- 2(1380-60)
Park- 2(1440-60)
Road- 0(470-530)road|0
Road- 0(530-530)road|0
Road- 0(590-530)road|0
Road- 0(650-530)road|0
Road- 0(710-530)road|0
Road- 0(770-530)road|0
Road- 0(830-530)road|0
Road- 0(890-530)road|0
Road- 0(950-530)t-road|0
Road- 0(1010-530)road|0
Road- 0(1070-530)road|0
Road- 0(1130-530)t-road|180
Road- 0(1190-530)road|0
Road- 0(1250-530)road|0
Road- 0(1310-530)road|0
Road- 0(1370-530)road|0
Road- 0(1430-530)road|0
Road- 0(1490-530)road|0
Road- 0(1550-530)road|0
Road- 0(1610-530)road|0
Road- 0(1670-530)road|0
Road- 0(1730-530)road|0
Road- 0(1790-530)road|0
Road- 0(1850-530)road|0
Road- 0(1910-530)road|0
Road- 0(1130-470)v-road|0
Road- 0(1130-410)v-road|0
Road- 0(1130-350)v-road|0
Road- 0(1130-290)v-road|0
Road- 0(1130-230)v-road|0
Road- 0(1130-170)t-road|0
Road- 0(1190-170)road|0
Road- 0(1250-170)road|0
Road- 0(1310-170)road|0
Road- 0(1370-170)road|0
Road- 0(1430-170)road|0
Road- 0(1490-170)road|0
Road- 0(1550-170)road|0
Road- 0(1610-170)road|0
Road- 0(1670-170)road|0
Road- 0(1730-170)road|0
Road- 0(1790-170)road|0
Road- 0(1850-170)road|0
Road- 0(1910-170)road|0
Road- 0(950-590)v-road|0
Road- 0(950-650)v-road|0
Road- 0(950-710)v-road|0
Road- 0(950-770)v-road|0
Road- 0(950-830)+-road|270
Road- 0(950-890)v-road|0
Road- 0(950-950)v-road|0
Road- 0(950-1010)v-road|0
Road- 0(290-470)v-road|0
Road- 0(290-410)v-road|0
Road- 0(290-350)v-road|0
Road- 0(290-290)v-road|0
Road- 0(290-230)v-road|0
Road- 0(290-170)t-road|90
Road- 0(290-110)v-road|0
Road- 0(290-50)v-road|0
Road- 0(1070-170)road|0
Road- 0(1010-170)road|0
Road- 0(950-170)road|0
Road- 0(890-170)road|0
Road- 0(830-170)road|0
Road- 0(770-170)road|0
Road- 0(710-170)road|0
Road- 0(650-170)road|0
Road- 0(590-170)road|0
Road- 0(530-170)road|0
Road- 0(470-170)road|0
Road- 0(410-170)road|0
Road- 0(350-170)road|0
Road- 0(50-830)road|0
Road- 0(110-830)road|0
Road- 0(170-830)road|0
Road- 0(230-830)road|0
Road- 0(290-830)road|0
Road- 0(350-830)road|0
Road- 0(410-830)road|0
Road- 0(470-830)road|0
Road- 0(530-830)road|0
Road- 0(590-830)road|0
Road- 0(650-830)road|0
Road- 0(710-830)road|0
Road- 0(770-830)road|0
Road- 0(830-830)road|0
Road- 0(890-830)road|0
Road- 0(1010-830)road|0
Road- 0(1070-830)road|0
Road- 0(1130-830)road|0
Road- 0(1190-830)road|0
Road- 0(1250-830)road|0
Road- 0(1310-830)road|0
Road- 0(1370-830)road|0
Road- 0(1430-830)road|0
Road- 0(1490-830)road|0
Road- 0(1550-830)road|0
Road- 0(1610-830)road|0
Road- 0(1670-830)road|0
Road- 0(1730-830)road|0
Road- 0(1790-830)road|0
Road- 0(1850-830)road|0
Road- 0(1910-830)road|0
Energy- 1(1020-840)
Energy- 1(960-840)
Energy- 1(1080-840)
House- 4(1140.0-420.0)
House- 4(0.0-420.0)
House- 4(60.0-420.0)
House- 4(180.0-420.0)
Park- 2(1200-60)
Park- 2(1500-60)
Factory- 2(1860-720)
Factory- 2(1800-720)
Factory- 1(1740-720)
Factory- 1(1680-720)
Factory- 1(1620-720)
