Amount of Citizens: 115
Amount of Houses: 9
Money: 20075
Climate Score: 99
Current Date: 2022-11-20
citizen_happiness: 86
Placed Objects:
House- 4(120.0-540.0)
Tree- 0(180-540)
Tree- 0(240-540)
Tree- 0(300-540)
Tree- 0(360-540)
Tree- 0(420-540)
Tree- 0(480-540)
Tree- 0(540-540)
Tree- 0(600-540)
Road- 0(50-650)road|0
Road- 0(110-650)road|0
Road- 0(170-650)road|0
Road- 0(230-650)road|0
Road- 0(290-650)road|0
Road- 0(350-650)road|0
Road- 0(410-650)road|0
Road- 0(470-650)road|0
Road- 0(530-650)road|0
Road- 0(590-650)road|0
Road- 0(650-650)road|0
Road- 0(710-650)road|0
House- 3(60.0-540.0)
House- 3(0.0-540.0)
Park- 2(660-540)
Tree- 0(0-660)
Tree- 0(60-660)
Tree- 0(120-660)
Tree- 0(180-660)
Tree- 0(240-660)
Tree- 0(300-660)
Tree- 0(360-660)
Tree- 0(420-660)
Road- 0(770-650)road|0
Road- 0(830-650)road|0
Road- 0(890-650)+-road|180
Road- 0(950-650)road|0
Road- 0(1010-650)road|0
Road- 0(1070-650)road|0
Road- 0(1130-650)road|0
Road- 0(1190-650)road|0
Road- 0(1250-650)road|0
Road- 0(1310-650)road|0
Road- 0(1370-650)road|0
Road- 0(1430-650)road|0
Road- 0(1490-650)+-road|0
Road- 0(1550-650)road|0
Road- 0(1610-650)road|0
Road- 0(1670-650)road|0
Road- 0(1730-650)road|0
Road- 0(1790-650)road|0
Road- 0(1850-650)road|0
Road- 0(1910-650)road|0
House- 3(720.0-540.0)
Tree- 0(480-660)
Tree- 0(540-660)
Energy- 1(600-660)
Park- 1(660-660)
Park- 2(720-660)
Park- 2(780-660)
Tree- 0(600-540)
Road- 0(890-590)v-road|0
Road- 0(890-530)v-road|0
Road- 0(890-470)t-road|90
Road- 0(890-410)v-road|0
Road- 0(890-350)v-road|0
Road- 0(890-290)t-road|90
Road- 0(890-230)v-road|0
Road- 0(890-170)v-road|0
Road- 0(890-110)cornerroad|0
Road- 0(950-110)road|0
Road- 0(1010-110)road|0
Road- 0(1070-110)road|0
Road- 0(1130-110)road|0
Road- 0(1190-110)road|0
Road- 0(1250-110)road|0
Road- 0(1310-110)road|0
Road- 0(1370-110)road|0
Road- 0(1430-110)road|0
Road- 0(1490-110)t-road|0
Road- 0(1550-110)road|0
Road- 0(1610-110)road|0
Road- 0(1670-110)road|0
Road- 0(1730-110)road|0
Road- 0(1790-110)road|0
Road- 0(1850-110)road|0
Road- 0(1910-110)road|0
Park- 2(780-540)
House- 4(900.0-540.0)
Park- 2(900-660)
Park- 2(960-660)
Road- 0(890-710)v-road|0
Road- 0(890-770)v-road|0
Road- 0(890-830)v-road|0
Road- 0(890-890)v-road|0
Road- 0(890-950)v-road|0
Road- 0(890-1010)v-road|0
Factory- 1(1740-0)
Store- 1(960-540)
Factory- 2(1680-0)
House- 2(1020.0-540.0)
House- 2(1080.0-540.0)
House- 2(1140.0-540.0)
House- 2(1200.0-540.0)
Factory- 2(1620-0)
Factory- 1(1800-0)
Factory- 1(1860-0)
Park- 2(1020-660)
Park- 2(1080-660)
Park- 2(1140-660)
Park- 2(1200-660)
Park- 2(1260-660)
Road- 0(950-470)road|0
Road- 0(1010-470)road|0
Road- 0(1070-470)road|0
Road- 0(1130-470)road|0
Road- 0(1190-470)road|0
Road- 0(1250-470)road|0
Road- 0(1310-470)road|0
Road- 0(1370-470)road|0
Road- 0(1430-470)road|0
Road- 0(1490-470)+-road|0
Road- 0(1550-470)road|0
Road- 0(1610-470)road|0
Road- 0(1670-470)road|0
Road- 0(1730-470)road|0
Road- 0(1790-470)road|0
Road- 0(1850-470)road|0
Road- 0(1910-470)road|0
Road- 0(950-290)road|0
Road- 0(1010-290)road|0
Road- 0(1070-290)road|0
Road- 0(1130-290)road|0
Road- 0(1190-290)road|0
Road- 0(1250-290)road|0
Road- 0(1310-290)road|0
Road- 0(1370-290)road|0
Road- 0(1430-290)road|0
Road- 0(1490-290)+-road|0
Road- 0(1550-290)road|0
Road- 0(1610-290)road|0
Road- 0(1670-290)road|0
Road- 0(1730-290)road|0
Road- 0(1790-290)road|0
Road- 0(1850-290)road|0
Road- 0(1910-290)road|0
Road- 0(1490-1010)v-road|0
Road- 0(1490-950)v-road|0
Road- 0(1490-890)v-road|0
Road- 0(1490-830)v-road|0
Road- 0(1490-770)v-road|0
Road- 0(1490-710)v-road|0
Road- 0(1490-590)v-road|0
Road- 0(1490-530)v-road|0
Road- 0(1490-410)v-road|0
Road- 0(1490-350)v-road|0
Road- 0(1490-230)v-road|0
Road- 0(1490-170)v-road|0
