Amount of Citizens: 502
Amount of Houses: 24
Money: 3232615
Climate Score: 100
Current Date: 2024-05-25
citizen_happiness: 100
Placed Objects:
House- 4(720.0-480.0)
House- 4(780.0-480.0)
Park- 2(840.0-480.0)
Park- 2(900.0-480.0)
House- 4(660.0-480.0)
Park- 2(960.0-480.0)
Road- 0(650-590)road|0
Road- 0(710-590)t-road|0
Road- 0(770-590)road|0
Road- 0(830-590)road|0
Road- 0(890-590)road|0
Road- 0(950-590)road|0
Road- 0(1010-590)road|0
Road- 0(1070-590)cornerroad|180
Road- 0(1070-530)v-road|0
Road- 0(1070-470)v-road|0
Road- 0(1070-410)cornerroad|0
Road- 0(1130-410)road|0
Road- 0(1190-410)road|0
Road- 0(1250-410)road|0
Road- 0(1310-410)+-road|180
Road- 0(1370-410)road|0
Factory- 1(1080.0-300.0)
Tree- 0(1140-300)
Factory- 1(1020.0-300.0)
Tree- 0(1200-300)
Tree- 0(960-360)
Tree- 0(960-420)
Store- 4(600.0-480.0)
Road- 0(590-590)cornerroad|90
Road- 0(590-530)v-road|0
Road- 0(590-470)v-road|0
Road- 0(590-410)cornerroad|270
Hospital- 2(600.0-420.0)
Park- 1(600.0-360.0)
Tree- 0(660-420)
Tree- 0(720-420)
Tree- 0(780-420)
Tree- 0(840-420)
Road- 0(950-470)v-road|0
Road- 0(950-410)v-road|0
Road- 0(950-350)v-road|0
Road- 0(950-290)t-road|0
Road- 0(1010-290)road|0
Road- 0(1070-290)road|0
Road- 0(1130-290)t-road|180
Road- 0(1190-290)road|0
Road- 0(1250-290)road|0
Road- 0(1310-290)t-road|0
Road- 0(1370-290)road|0
Road- 0(1310-350)v-road|0
Energy- 2(840.0-360.0)
Energy- 2(780.0-360.0)
House- 4(600.0-600.0)
Road- 0(710-650)v-road|0
Road- 0(710-710)v-road|0
Road- 0(710-770)v-road|0
Road- 0(710-830)t-road|90
Road- 0(710-890)t-road|270
Road- 0(710-950)v-road|0
Road- 0(710-1010)v-road|0
Road- 0(530-410)road|0
Road- 0(470-410)road|0
Road- 0(410-410)road|0
Road- 0(350-410)road|0
Road- 0(290-410)t-road|0
Road- 0(230-410)road|0
Road- 0(170-410)road|0
Road- 0(110-410)road|0
Road- 0(50-410)road|0
Road- 0(1430-290)road|0
Road- 0(1490-290)road|0
Road- 0(1550-290)road|0
Road- 0(1610-290)road|0
Road- 0(1670-290)road|0
Road- 0(1730-290)road|0
Road- 0(1790-290)road|0
Road- 0(1850-290)road|0
Road- 0(1910-290)road|0
House- 4(600.0-660.0)
House- 4(600.0-720.0)
House- 4(600.0-780.0)
Park- 1(240.0-300.0)
Factory- 3(300.0-300.0)
Energy- 2(360.0-300.0)
Energy- 2(780.0-300.0)
Energy- 2(840.0-300.0)
Tree- 0(960-300)
House- 4(720.0-600.0)
House- 4(720.0-660.0)
House- 6(720.0-720.0)
Factory- 1(420.0-300.0)
Factory- 2(480.0-300.0)
Road- 0(770-830)road|0
Road- 0(830-830)road|0
Road- 0(890-830)road|0
Road- 0(950-830)road|0
Road- 0(1010-830)road|0
Road- 0(1070-830)road|0
Store- 4(780.0-720.0)
Tree- 0(840-720)
Tree- 0(780-660)
Tree- 0(540-300)
Hospital- 1(900.0-720.0)
House- 1(960.0-720.0)
Tree- 0(720-840)
Tree- 0(720-900)
Tree- 0(780-840)
Tree- 0(840-840)
Store- 1(720.0-960.0)
Road- 0(290-470)v-road|0
Road- 0(290-530)v-road|0
Road- 0(290-590)v-road|0
Road- 0(290-650)v-road|0
Road- 0(290-710)v-road|0
Road- 0(290-770)v-road|0
Road- 0(290-830)v-road|0
Road- 0(290-890)cornerroad|90
Road- 0(350-890)road|0
Road- 0(410-890)road|0
Road- 0(470-890)road|0
Road- 0(530-890)road|0
Road- 0(590-890)road|0
Road- 0(650-890)road|0
Road- 0(1310-470)v-road|0
Road- 0(1310-530)v-road|0
Road- 0(1310-590)t-road|90
Road- 0(1310-650)v-road|0
Road- 0(1310-710)v-road|0
Road- 0(1310-770)v-road|0
Road- 0(1310-830)cornerroad|180
Road- 0(1130-830)road|0
Road- 0(1190-830)road|0
Road- 0(1250-830)road|0
Road- 0(1430-410)road|0
Road- 0(1490-410)road|0
Road- 0(1550-410)road|0
Road- 0(1610-410)road|0
Road- 0(1670-410)cornerroad|270
Road- 0(1670-470)v-road|0
Road- 0(1670-530)v-road|0
Road- 0(1670-590)t-road|270
Road- 0(1670-650)v-road|0
Road- 0(1670-710)v-road|0
Road- 0(1670-770)v-road|0
Road- 0(1670-830)v-road|0
Road- 0(1670-890)v-road|0
Road- 0(1670-950)v-road|0
Road- 0(1670-1010)v-road|0
Energy- 2(1020.0-720.0)
House- 4(1080.0-720.0)
House- 4(1080.0-660.0)
House- 5(1140.0-720.0)
House- 4(1140.0-660.0)
Factory- 3(300.0-780.0)
Factory- 3(360.0-780.0)
Park- 2(420.0-780.0)
Tree- 0(1200-720)
Tree- 0(1200-660)
Tree- 0(1200-600)
Tree- 0(1500-720)
Tree- 0(1200-960)
Tree- 0(1800-480)
Tree- 0(720-120)
Store- 4(1320.0-420.0)
Factory- 2(780.0-900.0)
Energy- 2(840.0-900.0)
Tree- 0(1740-540)
Tree- 0(1680-600)
Tree- 0(1800-600)
Tree- 0(1740-660)
Tree- 0(1800-660)
Tree- 0(1680-720)
House- 1(1740.0-600.0)
Tree- 0(1800-540)
Energy- 1(1740.0-720.0)
Tree- 0(1800-720)
Hospital- 2(1860.0-660.0)
Tree- 0(1740-780)
Tree- 0(1680-840)
House- 4(1380.0-180.0)
House- 4(1440.0-180.0)
Park- 1(1320.0-300.0)
Road- 0(1370-590)road|0
Road- 0(1430-590)road|0
Road- 0(1490-590)road|0
Road- 0(1550-590)road|0
Road- 0(1610-590)road|0
Tree- 0(1320-480)
Store- 1(1560.0-480.0)
House- 1(1500.0-480.0)
House- 2(1440.0-480.0)
Park- 1(1380.0-480.0)
Factory- 1(1440.0-420.0)
Tree- 0(1500-420)
Hospital- 2(1380.0-840.0)
Store- 2(780.0-600.0)
Energy- 2(960.0-600.0)
Energy- 2(1020.0-660.0)
Energy- 2(960.0-660.0)
Energy- 2(1020.0-600.0)
Tree- 0(1080-480)
Tree- 0(1440-900)
Road- 0(290-50)v-road|0
Road- 0(290-110)v-road|0
Road- 0(290-170)v-road|0
Road- 0(290-230)v-road|0
Road- 0(290-290)cornerroad|90
Road- 0(350-290)road|0
Road- 0(410-290)road|0
Road- 0(470-290)road|0
Road- 0(530-290)road|0
Road- 0(590-290)road|0
Road- 0(650-290)road|0
Road- 0(710-290)road|0
Road- 0(770-290)road|0
Road- 0(830-290)road|0
Road- 0(890-290)road|0
Road- 0(1130-110)v-road|0
Road- 0(1130-170)v-road|0
Road- 0(1130-230)v-road|0
Tree- 0(180-300)
Factory- 1(120.0-300.0)
Tree- 0(60-300)
Tree- 0(0-300)
Park- 2(180.0-420.0)
Park- 2(120.0-420.0)
Park- 2(120.0-480.0)
Park- 2(180.0-480.0)
House- 4(300.0-420.0)
House- 4(360.0-420.0)
Tree- 0(300-480)
Tree- 0(360-480)
Tree- 0(480-600)
Store- 1(300.0-180.0)
Store- 2(360.0-180.0)
Store- 4(1020.0-180.0)
Tree- 0(1140-180)
Tree- 0(1560-0)
Tree- 0(1560-120)
Tree- 0(1380-120)
Tree- 0(0-900)
Tree- 0(120-720)
Energy- 2(0.0-600.0)
Energy- 2(60.0-660.0)
Energy- 2(0.0-780.0)
Hospital- 2(300.0-600.0)
Tree- 0(300-900)
Tree- 0(480-960)
Tree- 0(540-780)
Store- 3(1080.0-840.0)
Tree- 0(480-420)
House- 3(480.0-480.0)
House- 2(420.0-540.0)
